,n,win,totalret,maxret,mdd
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_999_-1",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_999_-2",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.3, 1), ('delta', -0.15, -1)]}_[7, 35]_exit1_999_-3",19.0,0.0,-40.71999999999999,3.2800000000000007,-43.99999999999999
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.25_-0.5",19.0,8.0,-1.7699999999999994,2.260000000000001,-4.03
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.25_-1",19.0,8.0,-6.58,1.8499999999999996,-8.43
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.25_-2",19.0,8.0,-6.58,1.8499999999999996,-8.43
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.25_-3",19.0,8.0,-6.58,1.8499999999999996,-8.43
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.5_-0.5",19.0,5.0,-4.3500000000000005,0.7099999999999995,-8.0
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.5_-1",19.0,5.0,-11.12,2.3,-14.02
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.5_-2",19.0,5.0,-11.12,2.3,-14.02
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_0.5_-3",19.0,5.0,-11.12,2.3,-14.02
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_1_-0.5",19.0,4.0,-3.84,0.7099999999999995,-10.33
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_1_-1",19.0,4.0,-11.049999999999999,2.3,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_1_-2",19.0,4.0,-11.049999999999999,2.3,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_1_-3",19.0,4.0,-11.049999999999999,2.3,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_2_-0.5",19.0,4.0,4.509999999999999,8.539999999999997,-10.33
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_2_-1",19.0,4.0,-2.7,3.429999999999997,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_2_-2",19.0,4.0,-2.7,3.429999999999997,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_2_-3",19.0,4.0,-2.7,3.429999999999997,-16.79
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_4_-0.5",19.0,0.0,-17.29,4.299999999999998,-21.59
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_4_-1",19.0,0.0,-26.04,2.3,-28.34
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_4_-2",19.0,0.0,-26.04,2.3,-28.34
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_4_-3",19.0,0.0,-26.04,2.3,-28.34
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_999_-0.5",19.0,0.0,-17.29,4.299999999999998,-21.59
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_999_-1",19.0,0.0,-26.04,2.3,-28.34
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_999_-2",19.0,0.0,-26.04,2.3,-28.34
"entry5_{'P': [('delta', -0.2, 1), ('delta', -0.1, -1)]}_[7, 35]_exit1_999_-3",19.0,0.0,-26.04,2.3,-28.34
