date,cumret,drawdown
2018-08-29,11.769999999999998,-0.4900000000000002
2018-08-30,11.809999999999997,-0.45000000000000107
2018-08-31,11.979999999999997,-0.28000000000000114
2018-09-03,11.749999999999996,-0.5100000000000016
2018-09-04,12.109999999999996,-0.15000000000000213
2019-01-11,12.109999999999996,-0.15000000000000213
2019-01-14,11.729999999999995,-0.5300000000000029
2019-04-03,11.729999999999995,-0.5300000000000029
2019-04-04,11.819999999999995,-0.44000000000000306
2019-04-05,11.959999999999996,-0.3000000000000025
2019-06-11,11.959999999999996,-0.3000000000000025
2019-06-12,11.769999999999996,-0.490000000000002
2019-06-13,11.289999999999996,-0.9700000000000024
2019-09-05,11.289999999999996,-0.9700000000000024
2019-09-06,11.579999999999995,-0.6800000000000033
2019-11-01,11.579999999999995,-0.6800000000000033
