,date,0
2012-01-12,2011-12-01,0.0
2011-12-08,2011-12-02,0.0
2012-01-12,2011-12-02,0.0
2011-12-08,2011-12-05,0.0
2012-01-12,2011-12-05,0.0
2011-12-08,2011-12-06,0.0
2012-01-12,2011-12-06,0.0
2011-12-08,2011-12-07,0.0
2012-01-12,2011-12-07,0.0
2011-12-08,2011-12-08,0.0
2012-01-12,2011-12-08,0.0
2012-01-12,2011-12-09,0.0
2012-01-12,2011-12-12,0.0
2012-01-12,2011-12-13,0.0
2012-01-12,2011-12-14,0.0
2012-02-09,2011-12-14,0.0
2012-01-12,2011-12-15,0.0
2012-02-09,2011-12-15,2.0000000000000004
2012-01-12,2011-12-16,0.0
2012-02-09,2011-12-16,-0.30000000000000027
2012-01-12,2011-12-19,0.0
2012-01-12,2011-12-20,0.0
2012-01-12,2011-12-21,0.0
2012-01-12,2011-12-22,0.0
2012-01-12,2011-12-23,0.0
2012-01-12,2011-12-26,0.0
2012-01-12,2011-12-27,0.0
2012-01-12,2011-12-28,0.0
2012-01-12,2011-12-29,0.0
2012-03-08,2011-12-29,0.0
2012-01-12,2012-01-02,0.0
2012-03-08,2012-01-02,0.0
2012-01-12,2012-01-03,0.0
2012-03-08,2012-01-03,0.0
2012-01-12,2012-01-04,0.0
2012-03-08,2012-01-04,0.0
2012-01-12,2012-01-05,0.0
2012-03-08,2012-01-05,0.0
2012-01-12,2012-01-06,0.0
2012-03-08,2012-01-06,0.0
2012-01-12,2012-01-09,0.0
2012-03-08,2012-01-09,0.0
2012-01-12,2012-01-10,0.0
2012-03-08,2012-01-10,0.0
2012-01-12,2012-01-11,0.0
2012-03-08,2012-01-11,0.0
2012-01-12,2012-01-12,0.0
2012-03-08,2012-01-12,0.0
2012-03-08,2012-01-13,0.0
2012-03-08,2012-01-16,0.0
2012-03-08,2012-01-17,0.0
2012-03-08,2012-01-18,0.0
2012-03-08,2012-01-19,0.0
2012-03-08,2012-01-20,0.0
2012-03-08,2012-01-25,0.0
2012-03-08,2012-01-26,0.0
2012-03-08,2012-01-27,0.0
2012-03-08,2012-01-30,0.0
2012-03-08,2012-01-31,0.0
2012-03-08,2012-02-01,0.0
2012-03-08,2012-02-02,0.0
2012-03-08,2012-02-03,0.0
2012-03-08,2012-02-06,0.0
2012-03-08,2012-02-07,0.0
2012-03-08,2012-02-08,0.0
2012-03-08,2012-02-09,0.0
2012-03-08,2012-02-10,0.0
2012-03-08,2012-02-13,0.0
2012-03-08,2012-02-14,0.0
2012-03-08,2012-02-15,0.0
2012-03-08,2012-02-16,0.0
2012-04-12,2012-02-16,0.0
2012-03-08,2012-02-17,0.0
2012-04-12,2012-02-17,-1.5499999999999998
2012-03-08,2012-02-20,0.0
2012-03-08,2012-02-21,0.0
2012-03-08,2012-02-22,0.0
2012-03-08,2012-02-23,0.0
2012-03-08,2012-02-24,0.0
2012-04-12,2012-02-24,0.0
2012-03-08,2012-02-27,0.0
2012-04-12,2012-02-27,1.4
2012-03-08,2012-02-28,0.0
2012-04-12,2012-02-28,-0.3999999999999999
2012-03-08,2012-02-29,0.0
2012-04-12,2012-02-29,-0.75
2012-03-08,2012-03-02,0.0
2012-04-12,2012-03-02,0.09999999999999964
2012-03-08,2012-03-05,0.0
2012-03-08,2012-03-06,0.0
2012-03-08,2012-03-07,0.0
2012-05-10,2012-03-07,0.0
2012-03-08,2012-03-08,0.0
2012-05-10,2012-03-08,-1.6500000000000004
2012-05-10,2012-03-09,-0.2999999999999998
2012-05-10,2012-03-12,0.7999999999999998
2012-05-10,2012-03-13,-1.799999999999999
2012-05-10,2012-03-14,-1.8500000000000014
2012-06-14,2012-04-12,0.0
2012-06-14,2012-04-13,-1.1500000000000004
2012-07-12,2012-05-07,0.0
2012-07-12,2012-05-08,-0.34999999999999964
2012-07-12,2012-05-09,0.75
2012-07-12,2012-05-10,0.5499999999999998
2012-07-12,2012-05-11,1.2000000000000002
2012-07-12,2012-05-14,-0.020000000000000018
2012-08-09,2012-06-04,0.0
2012-08-09,2012-06-05,-0.7000000000000002
2012-08-09,2012-06-07,-2.95
2012-08-09,2012-06-22,0.0
2012-08-09,2012-06-25,1.44
2012-08-09,2012-06-26,0.4299999999999997
2012-08-09,2012-06-27,0.040000000000000036
2012-08-09,2012-06-28,-0.10000000000000009
2012-09-13,2012-07-12,0.0
2012-09-13,2012-07-13,-0.8000000000000007
2012-10-11,2012-08-24,0.0
2012-10-11,2012-08-27,0.35000000000000053
2012-10-11,2012-08-28,0.44999999999999973
2012-10-11,2012-08-29,-0.30000000000000027
2012-11-08,2012-09-26,0.0
2012-11-08,2012-09-27,-0.5499999999999998
2012-11-08,2012-09-28,0.10000000000000053
2012-12-13,2012-09-28,0.0
2012-11-08,2012-10-02,0.5499999999999998
2012-12-13,2012-10-02,0.0
2012-11-08,2012-10-04,0.20000000000000018
