,,"weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.2_1_[1, 999]_[0, 999]_1","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2","weekly_thu_C_delta_0.1_1_[1, 999]_[0, 999]_-2"
2022-05-31,2022-05-26,C,2206W1,352.5,KR4209A93529,코스피위클리 C 2206W1 352.5,2.49,1.8,2.85,0.85,9.0,79314,31113867500,5679,2022-06-02,2,351.79,354.72,350.01,354.54,17.26,1.75,355.0,-2.5,2.49,0.767,0.106,-0.147,0.098,1,2.49,C,2206W1,355.0,KR4209A93552,코스피위클리 C 2206W1 355.0,1.08,0.79,1.35,0.3,10.0,176808,31732270000,6680,2022-06-02,2,351.79,354.72,350.01,354.54,17.26,1.75,355.0,0.0,1.09,-0.902,-0.246,0.424,-0.254,1,-2.18
2022-06-02,2022-05-26,C,2206W1,352.5,KR4209A93529,코스피위클리 C 2206W1 352.5,0.02,0.74,0.77,0.01,6.4,435455,14349505000,0,2022-06-02,0,352.29,352.81,349.55,350.51,17.6,1.75,350.0,2.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2206W1,355.0,KR4209A93552,코스피위클리 C 2206W1 355.0,0.01,0.11,0.12,0.01,11.3,141959,1468607500,0,2022-06-02,0,352.29,352.81,349.55,350.51,17.6,1.75,350.0,5.0,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-06-09,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.58,0.8,0.81,0.4,11.9,10635,1526327500,2591,2022-06-16,7,345.35,346.82,343.69,346.62,17.0,1.75,347.5,5.0,0.58,0.178,0.043,-0.099,0.134,1,0.58,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,0.29,0.41,0.5,0.18,12.3,7430,517477500,2200,2022-06-16,7,345.35,346.82,343.69,346.62,17.0,1.75,347.5,7.5,0.3,-0.2,-0.056,0.138,-0.18,1,-0.6
2022-06-10,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.16,0.21,0.23,0.11,13.9,45275,1919477500,6371,2022-06-16,6,342.32,343.25,340.66,341.89,18.29,1.75,342.5,10.0,0.17,0.059,0.018,-0.055,0.056,1,0.17,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,0.05,0.08,0.09,0.04,13.3,24093,439055000,5452,2022-06-16,6,342.32,343.25,340.66,341.89,18.29,1.75,342.5,12.5,0.05,-0.044,-0.016,0.048,-0.05,1,-0.1
2022-06-13,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.01,0.01,0.02,0.01,23.9,15378,151692500,10966,2022-06-16,3,335.76,335.97,329.88,329.88,23.3,1.75,330.0,22.5,0.01,0.004,0.002,-0.013,0.004,1,0.01,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,0.01,0.01,0.01,0.01,26.2,12567,55917500,10247,2022-06-16,3,335.76,335.97,329.88,329.88,23.3,1.75,330.0,25.0,0.01,-0.008,-0.002,0.026,-0.008,1,-0.02
2022-06-14,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.01,0.01,0.01,0.01,30.9,698,1745000,11311,2022-06-16,2,325.68,329.27,323.36,328.23,23.74,1.75,327.5,25.0,0.02,0.006,0.002,-0.025,0.005,1,0.02,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,0.01,0.01,0.01,0.01,31.5,137,342500,10149,2022-06-16,2,325.68,329.27,323.36,328.23,23.74,1.75,327.5,27.5,0.01,-0.006,-0.002,0.03,-0.006,1,-0.02
2022-06-15,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.01,0.01,0.01,0.01,44.9,3547,8867500,8962,2022-06-16,1,327.7,328.3,320.29,322.21,24.27,1.75,322.5,30.0,0.01,0.004,0.001,-0.029,0.003,1,0.01,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,0.01,0.01,0.01,0.01,48.1,1946,4865000,8678,2022-06-16,1,327.7,328.3,320.29,322.21,24.27,1.75,322.5,32.5,0.01,-0.006,-0.002,0.06,-0.004,1,-0.02
2022-06-16,2022-06-09,C,2206W3,352.5,KR4209AA3527,코스피위클리 C 2206W3 352.5,0.01,0.01,0.01,0.01,52.1,1,2500,0,2022-06-16,0,326.72,328.84,321.54,322.25,23.72,1.75,322.5,30.0,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2206W3,355.0,KR4209AA3550,코스피위클리 C 2206W3 355.0,,,,,52.1,1,2500,0,2022-06-16,0,326.72,328.84,321.54,322.25,23.72,1.75,322.5,32.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-06-16,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,1.15,2.2,3.17,0.96,19.7,6509,2545115000,2169,2022-06-23,7,326.72,328.84,321.54,322.25,23.72,1.75,322.5,7.5,1.14,0.216,0.031,-0.172,0.14,1,1.14,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.31,1.26,1.35,0.26,18.2,7682,1205570000,1804,2022-06-23,7,326.72,328.84,321.54,322.25,23.72,1.75,322.5,12.5,0.31,-0.158,-0.034,0.16,-0.14,1,-0.62
2022-06-17,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,0.67,0.27,0.79,0.26,20.4,82045,11943335000,4717,2022-06-23,6,316.36,320.71,314.79,320.09,25.79,1.75,320.0,10.0,0.67,0.146,0.025,-0.148,0.102,1,0.67,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.14,0.07,0.19,0.07,18.7,32253,1146605000,5129,2022-06-23,6,316.36,320.71,314.79,320.09,25.79,1.75,320.0,15.0,0.14,-0.084,-0.022,0.106,-0.078,1,-0.28
2022-06-20,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,0.06,0.67,0.76,0.05,22.7,84787,3759750000,12518,2022-06-23,3,321.46,321.62,311.71,314.44,26.37,1.75,315.0,15.0,0.06,0.022,0.007,-0.049,0.017,1,0.06,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.02,0.16,0.17,0.01,25.1,30883,345452500,11568,2022-06-23,3,321.46,321.62,311.71,314.44,26.37,1.75,315.0,20.0,0.02,-0.016,-0.006,0.048,-0.016,1,-0.04
2022-06-21,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,0.02,0.06,0.08,0.02,20.1,64116,671145000,15252,2022-06-23,2,315.95,318.74,313.66,316.38,23.4,1.75,317.5,12.5,0.02,0.011,0.005,-0.027,0.008,1,0.02,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.01,0.01,0.02,0.01,24.4,23305,58742500,16565,2022-06-23,2,315.95,318.74,313.66,316.38,23.4,1.75,317.5,17.5,0.01,-0.01,-0.004,0.034,-0.008,1,-0.02
2022-06-22,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,0.01,0.02,0.02,0.01,35.2,14753,41427500,18118,2022-06-23,1,317.47,317.63,308.08,308.08,25.64,1.75,307.5,22.5,0.01,0.004,0.002,-0.026,0.003,1,0.01,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.01,0.01,0.01,0.01,38.9,486,1215000,16277,2022-06-23,1,317.47,317.63,308.08,308.08,25.64,1.75,307.5,27.5,0.01,-0.004,-0.002,0.028,-0.002,1,-0.02
2022-06-23,2022-06-16,C,2206W4,330.0,KR4209AB3302,코스피위클리 C 2206W4 330.0,0.01,0.01,0.01,0.01,55.1,3,7500,0,2022-06-23,0,308.81,310.94,304.13,305.45,25.92,1.75,305.0,25.0,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2206W4,335.0,KR4209AB3351,코스피위클리 C 2206W4 335.0,0.01,0.01,0.01,0.01,66.8,28,70000,0,2022-06-23,0,308.81,310.94,304.13,305.45,25.92,1.75,305.0,30.0,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-06-23,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,0.94,1.65,1.97,0.73,23.4,9012,2555557500,2026,2022-06-30,7,308.81,310.94,304.13,305.45,25.92,1.75,305.0,10.0,1.12,0.195,0.026,-0.182,0.125,1,1.12,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,0.31,0.49,0.72,0.25,22.4,8833,957725000,2310,2022-06-30,7,308.81,310.94,304.13,305.45,25.92,1.75,305.0,15.0,0.39,-0.17,-0.03,0.196,-0.14,1,-0.78
2022-06-24,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,2.03,0.97,2.57,0.8,21.0,88495,36462175000,3376,2022-06-30,6,307.47,313.42,306.27,312.07,23.94,1.75,312.5,2.5,2.4,0.384,0.042,-0.248,0.165,1,2.4,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,0.67,0.3,0.95,0.24,19.5,88830,14027770000,6050,2022-06-30,6,307.47,313.42,306.27,312.07,23.94,1.75,312.5,7.5,0.83,-0.366,-0.062,0.32,-0.23,1,-1.66
2022-06-27,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,3.03,2.46,4.8,1.59,21.8,33647,24027730000,3894,2022-06-30,3,314.31,319.08,311.85,316.2,22.5,1.75,315.0,0.0,3.55,0.574,0.054,-0.354,0.13,1,3.55,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,1.1,0.84,2.03,0.47,21.5,173092,53507857500,7115,2022-06-30,3,314.31,319.08,311.85,316.2,22.5,1.75,315.0,5.0,1.37,-0.61,-0.098,0.622,-0.232,1,-2.74
2022-06-28,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,4.18,3.29,4.25,2.07,19.5,24029,17901655000,4828,2022-06-30,2,316.65,319.11,315.19,319.11,21.21,1.75,320.0,-5.0,4.9,0.773,0.053,-0.283,0.087,1,4.9,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,1.32,1.03,1.51,0.46,18.1,181607,39499595000,6843,2022-06-30,2,316.65,319.11,315.19,319.11,21.21,1.75,320.0,0.0,1.7,-0.878,-0.15,0.688,-0.228,1,-3.4
2022-06-29,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,0.77,1.8,2.27,0.74,17.3,101436,31055587500,8729,2022-06-30,1,314.33,315.16,312.52,312.86,22.46,1.75,312.5,2.5,0.76,0.302,0.087,-0.349,0.081,1,0.76,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,0.05,0.25,0.45,0.05,16.6,208527,9420795000,18248,2022-06-30,1,314.33,315.16,312.52,312.86,22.46,1.75,312.5,7.5,0.05,-0.068,-0.04,0.146,-0.036,1,-0.1
2022-06-30,2022-06-23,C,2206W5,315.0,KR4209AC3152,코스피위클리 C 2206W5 315.0,0.01,0.18,0.19,0.01,18.2,280204,4474870000,0,2022-06-30,0,311.2,311.63,307.2,307.2,23.9,1.75,307.5,7.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2206W5,320.0,KR4209AC3202,코스피위클리 C 2206W5 320.0,0.01,0.01,0.02,0.01,28.8,32048,181232500,0,2022-06-30,0,311.2,311.63,307.2,307.2,23.9,1.75,307.5,12.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-06-30,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,1.02,2.0,2.23,0.6,19.8,2514,850657500,1064,2022-07-07,7,311.2,311.63,307.2,307.2,23.9,1.75,307.5,7.5,1.02,0.204,0.031,-0.159,0.129,1,1.02,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.34,0.61,0.86,0.33,19.6,7426,1075665000,2205,2022-07-07,7,311.2,311.63,307.2,307.2,23.9,1.75,307.5,12.5,0.34,-0.168,-0.034,0.172,-0.14,1,-0.68
2022-07-01,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,0.34,1.35,1.63,0.21,18.9,117122,17116622500,7552,2022-07-07,6,308.72,310.55,301.95,304.02,23.98,1.75,305.0,10.0,0.34,0.092,0.021,-0.094,0.069,1,0.34,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.07,0.4,0.52,0.05,18.5,87520,4794042500,7595,2022-07-07,6,308.72,310.55,301.95,304.02,23.98,1.75,305.0,15.0,0.07,-0.048,-0.014,0.064,-0.048,1,-0.14
2022-07-04,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,0.13,0.24,0.37,0.06,20.3,119288,5395850000,12033,2022-07-07,3,304.46,305.82,300.82,304.01,24.07,1.75,305.0,10.0,0.13,0.049,0.016,-0.082,0.032,1,0.13,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.02,0.06,0.07,0.01,20.7,46951,411205000,12141,2022-07-07,3,304.46,305.82,300.82,304.01,24.07,1.75,305.0,15.0,0.02,-0.018,-0.008,0.042,-0.016,1,-0.04
2022-07-05,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,0.36,0.2,0.69,0.16,18.8,189039,16253187500,12552,2022-07-07,2,307.15,309.99,305.35,309.03,22.73,1.75,310.0,5.0,0.35,0.134,0.041,-0.19,0.061,1,0.35,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.05,0.04,0.11,0.02,19.4,92586,1191330000,13101,2022-07-07,2,307.15,309.99,305.35,309.03,22.73,1.75,310.0,10.0,0.05,-0.05,-0.022,0.104,-0.032,1,-0.1
2022-07-06,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,0.02,0.1,0.11,0.01,24.2,142760,2117535000,17744,2022-07-07,1,307.14,307.9,302.06,302.28,24.67,1.75,302.5,12.5,0.02,0.011,0.005,-0.04,0.007,1,0.02,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.01,0.01,0.02,0.01,29.8,25189,92115000,19070,2022-07-07,1,307.14,307.9,302.06,302.28,24.67,1.75,302.5,17.5,0.01,-0.01,-0.004,0.05,-0.006,1,-0.02
2022-07-07,2022-06-30,C,2207W1,315.0,KR4209AD3151,코스피위클리 C 2207W1 315.0,0.01,0.01,0.01,0.01,15.7,9387,30702500,0,2022-07-07,0,304.3,310.07,304.2,308.31,23.6,1.75,307.5,7.5,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2207W1,320.0,KR4209AD3201,코스피위클리 C 2207W1 320.0,0.01,0.01,0.01,0.01,28.5,378,945000,0,2022-07-07,0,304.3,310.07,304.2,308.31,23.6,1.75,307.5,12.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-07-14,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,1.19,1.8,1.8,0.88,20.1,5381,1674080000,1153,2022-07-21,7,304.7,307.93,303.65,305.35,23.32,2.25,305.0,7.5,1.18,0.228,0.033,-0.171,0.137,1,1.18,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,0.38,0.43,0.56,0.29,19.5,6042,622720000,1887,2022-07-21,7,304.7,307.93,303.65,305.35,23.32,2.25,305.0,12.5,0.38,-0.186,-0.038,0.184,-0.15,1,-0.76
2022-07-15,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,1.2,1.36,1.54,0.47,16.9,144107,34644867500,5063,2022-07-21,6,307.45,308.14,302.1,307.91,22.08,2.25,307.5,5.0,1.2,0.274,0.046,-0.171,0.142,1,1.2,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,0.35,0.39,0.46,0.13,17.1,88606,6644325000,8165,2022-07-21,6,307.45,308.14,302.1,307.91,22.08,2.25,307.5,10.0,0.35,-0.206,-0.05,0.186,-0.152,1,-0.7
2022-07-18,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,4.02,2.14,4.02,1.86,20.0,36716,24425802500,4422,2022-07-21,3,311.06,315.17,310.6,314.87,20.53,2.25,315.0,-2.5,4.02,0.649,0.056,-0.305,0.122,1,4.02,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,1.39,0.64,1.39,0.5,18.6,108043,25101157500,7972,2022-07-21,3,311.06,315.17,310.6,314.87,20.53,2.25,315.0,2.5,1.39,-0.686,-0.12,0.564,-0.242,1,-2.78
2022-07-19,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,2.43,2.81,2.9,1.82,14.0,35212,20858595000,5015,2022-07-21,2,313.38,314.06,311.81,313.9,20.74,2.25,315.0,-2.5,2.42,0.645,0.093,-0.247,0.106,1,2.42,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,0.52,0.8,0.87,0.38,15.3,138999,19194745000,9711,2022-07-21,2,313.38,314.06,311.81,313.9,20.74,2.25,315.0,2.5,0.52,-0.422,-0.132,0.42,-0.164,1,-1.04
2022-07-20,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,3.84,6.0,7.0,3.31,15.0,4733,5481695000,4335,2022-07-21,1,319.15,319.68,315.48,316.02,20.31,2.25,315.0,-2.5,3.84,0.847,0.067,-0.207,0.055,1,3.84,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,0.75,2.17,2.8,0.63,14.5,139694,42803665000,11638,2022-07-21,1,319.15,319.68,315.48,316.02,20.31,2.25,315.0,2.5,0.76,-0.676,-0.216,0.62,-0.172,1,-1.52
2022-07-21,2022-07-14,C,2207W3,312.5,KR4209AE3127,코스피위클리 C 2207W3 312.5,7.34,3.95,7.45,3.69,3.0,2175,2657352500,0,2022-07-21,0,316.22,320.14,316.22,319.68,20.02,2.25,320.0,-7.5,7.180000000000007,1.0,0.0,0.0,0.0,1,7.180000000000007,C,2207W3,317.5,KR4209AE3176,코스피위클리 C 2207W3 317.5,2.37,0.58,2.39,0.49,3.0,266499,64977292500,0,2022-07-21,0,316.22,320.14,316.22,319.68,20.02,2.25,320.0,-2.5,2.180000000000007,-2.0,-0.0,-0.0,-0.0,1,-4.360000000000014
2022-07-21,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.6,0.38,0.82,0.34,15.7,6297,958010000,2032,2022-07-28,7,316.22,320.14,316.22,319.68,20.02,2.25,320.0,7.5,0.6,0.157,0.032,-0.112,0.114,1,0.6,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.33,0.2,0.46,0.17,15.9,6857,537855000,2349,2022-07-28,7,316.22,320.14,316.22,319.68,20.02,2.25,320.0,10.0,0.33,-0.188,-0.044,0.158,-0.158,1,-0.66
2022-07-22,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.29,0.54,0.79,0.25,16.4,112600,11143857500,6423,2022-07-28,6,319.12,320.94,317.0,317.33,19.71,2.25,317.5,10.0,0.29,0.087,0.022,-0.082,0.07,1,0.29,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.13,0.27,0.42,0.1,16.3,72316,3778885000,8434,2022-07-28,6,319.12,320.94,317.0,317.33,19.71,2.25,317.5,12.5,0.13,-0.088,-0.026,0.096,-0.082,1,-0.26
2022-07-25,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.2,0.14,0.42,0.13,18.4,105796,7045087500,7627,2022-07-28,3,316.4,320.07,316.2,318.34,19.97,2.25,317.5,10.0,0.2,0.073,0.023,-0.107,0.046,1,0.2,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.07,0.06,0.18,0.05,18.2,66976,1908992500,13409,2022-07-28,3,316.4,320.07,316.2,318.34,19.97,2.25,317.5,12.5,0.07,-0.062,-0.024,0.106,-0.046,1,-0.14
2022-07-26,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.13,0.12,0.16,0.06,17.3,73492,1946645000,12331,2022-07-28,2,317.39,319.91,317.03,319.61,19.38,2.25,320.0,7.5,0.13,0.062,0.024,-0.103,0.036,1,0.13,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.04,0.05,0.05,0.02,17.3,51978,475422500,15897,2022-07-28,2,317.39,319.91,317.03,319.61,19.38,2.25,320.0,10.0,0.04,-0.044,-0.02,0.086,-0.03,1,-0.08
2022-07-27,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.03,0.07,0.09,0.01,15.9,63346,709645000,15768,2022-07-28,1,319.83,320.04,317.3,319.74,19.39,2.25,320.0,7.5,0.03,0.022,0.014,-0.049,0.012,1,0.03,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.01,0.02,0.03,0.01,17.7,25963,93125000,15807,2022-07-28,1,319.83,320.04,317.3,319.74,19.39,2.25,320.0,10.0,0.01,-0.016,-0.01,0.048,-0.01,1,-0.02
2022-07-28,2022-07-21,C,2207W4,327.5,KR4209AF3274,코스피위클리 C 2207W4 327.5,0.01,0.04,0.06,0.01,14.1,54801,320450000,0,2022-07-28,0,322.89,323.73,320.76,321.62,18.36,2.25,322.5,5.0,0.0,0.0,0.0,0.0,0.0,1,0.0,C,2207W4,330.0,KR4209AF3308,코스피위클리 C 2207W4 330.0,0.01,0.01,0.01,0.01,20.2,4566,11415000,0,2022-07-28,0,322.89,323.73,320.76,321.62,18.36,2.25,322.5,7.5,0.0,-0.0,-0.0,-0.0,-0.0,1,-0.0
2022-07-28,2022-07-28,C,2208W1,327.5,KR4209AG3273,코스피위클리 C 2208W1 327.5,0.87,1.05,1.52,0.66,14.9,4784,1045942500,1329,2022-08-04,7,322.89,323.73,320.76,321.62,18.36,2.25,322.5,5.0,0.86,0.215,0.041,-0.13,0.139,1,0.86,C,2208W1,330.0,KR4209AG3307,코스피위클리 C 2208W1 330.0,0.42,0.55,0.83,0.33,14.5,7131,785897500,2631,2022-08-04,7,322.89,323.73,320.76,321.62,18.36,2.25,322.5,7.5,0.41,-0.244,-0.058,0.174,-0.192,1,-0.82
2022-07-29,2022-07-28,C,2208W1,327.5,KR4209AG3273,코스피위클리 C 2208W1 327.5,0.79,1.38,1.9,0.65,12.6,94538,26101495000,4454,2022-08-04,6,324.38,325.83,321.95,323.31,17.79,2.25,322.5,5.0,0.79,0.241,0.055,-0.125,0.139,1,0.79,C,2208W1,330.0,KR4209AG3307,코스피위클리 C 2208W1 330.0,0.33,0.66,1.01,0.28,12.3,95707,13482840000,5758,2022-08-04,6,324.38,325.83,321.95,323.31,17.79,2.25,322.5,7.5,0.33,-0.242,-0.074,0.158,-0.18,1,-0.66
2022-08-01,2022-07-28,C,2208W1,327.5,KR4209AG3273,코스피위클리 C 2208W1 327.5,0.58,0.6,0.94,0.41,15.3,115332,17538662500,6270,2022-08-04,3,322.14,324.31,320.86,322.97,18.22,2.25,322.5,5.0,0.57,0.199,0.054,-0.18,0.094,1,0.57,C,2208W1,330.0,KR4209AG3307,코스피위클리 C 2208W1 330.0,0.22,0.26,0.39,0.16,15.3,85399,5236657500,6937,2022-08-04,3,322.14,324.31,320.86,322.97,18.22,2.25,322.5,7.5,0.22,-0.186,-0.064,0.216,-0.112,1,-0.44
